"idBank";"Dernière mise à jour";"Indicateur";"Correction";"Puissance";"Composantes du coût du travail";"IDBANK pour sdmx";"﻿Base de l'indice";"Activité";"Zone géographique";"Unité";"Nature";"Périodicité";"Série arrêtée"
"010761999";"17/12/2025 08:45";"Indice du coût du travail (Coût horaire)";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"0";"Coût horaire";"BDM";"2020";"B à N - Économie marchande";"France";"sans objet";"Indice";"Trimestrielle";"non"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
