"idBank";"Dernière mise à jour";"Puissance";"Série arrêtée";"Type de ménages";"Zone géographique";"Indicateur";"Correction";"﻿Base de l'indice";"Formes de vente de la grande distribution";"Regroupement de produits";"Produit détaillé (COICOP 2016)";"Unité";"Périodicité";"Nature"
"001768593";"12/12/2025 08:45";"0";"non";"Ensemble des ménages";"France métropolitaine";"Indice d'inflation sous-jacente (ISJ)";"Corrigé des mesures fiscales et des variations saisonnières";"2015";"Sans objet";"Ensemble";"Sans objet";"%";"Mensuelle";"Glissement annuel"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
